Survey_Round,CID,Community,Tax_ID,Tax_MoVPaid,Tax_MoVPaid_5y,Tax_Rate,Tax_Rate_5y,FID,P_ID,D_ID,T_ID,UC_ID,M_ID
1,101010101,1,1,0,0.0,,,1010101011.0,1,1,1,1,1
1,101010101,1,2,0,0.0,,,1010101011.0,1,1,1,1,1
1,101010101,1,3,0,0.0,,,1010101011.0,1,1,1,1,1
1,101010101,1,4,0,0.0,,,1010101011.0,1,1,1,1,1
1,101010202,2,1,0,0.0,,,1010102022.0,1,1,1,2,2
1,101010202,2,2,0,0.0,,,1010102022.0,1,1,1,2,2
1,101010202,2,3,0,0.0,,,1010102022.0,1,1,1,2,2
1,101010202,2,4,0,0.0,,,1010102022.0,1,1,1,2,2
1,101010203,3,1,0,0.0,,,1010102033.0,1,1,1,2,3
1,101010203,3,2,1,1.0,17.0,12.0,1010102033.0,1,1,1,2,3
1,101010203,3,3,0,0.0,,,1010102033.0,1,1,1,2,3
1,101010203,3,4,1,1.0,5.0,3.0,1010102033.0,1,1,1,2,3
1,101020304,4,1,0,0.0,,,1010203044.0,1,1,2,3,4
1,101020304,4,2,1,1.0,15.0,15.0,1010203044.0,1,1,2,3,4
1,101020304,4,3,0,0.0,,,1010203044.0,1,1,2,3,4
1,101020304,4,4,0,0.0,,,1010203044.0,1,1,2,3,4
1,102030405,1,1,1,1.0,16.0,9.0,1020304051.0,1,2,3,4,5
1,102030405,1,2,1,1.0,10.0,7.0,1020304051.0,1,2,3,4,5
1,102030405,1,3,0,0.0,,,1020304051.0,1,2,3,4,5
1,102030405,1,4,0,0.0,,,1020304051.0,1,2,3,4,5
1,102030506,2,1,0,0.0,,,1020305062.0,1,2,3,5,6
1,102030506,2,2,0,0.0,,,1020305062.0,1,2,3,5,6
1,102030506,2,3,0,0.0,,,1020305062.0,1,2,3,5,6
1,102030506,2,4,0,0.0,,,1020305062.0,1,2,3,5,6
1,102030607,3,1,0,0.0,,,1020306073.0,1,2,3,6,7
1,102030607,3,2,0,0.0,,,1020306073.0,1,2,3,6,7
1,102030607,3,3,0,0.0,,,1020306073.0,1,2,3,6,7
1,102030607,3,4,0,0.0,,,1020306073.0,1,2,3,6,7
1,102040708,4,1,0,0.0,,,1020407084.0,1,2,4,7,8
1,102040708,4,2,0,0.0,,,1020407084.0,1,2,4,7,8
1,102040708,4,3,0,0.0,,,1020407084.0,1,2,4,7,8
1,102040708,4,4,0,0.0,,,1020407084.0,1,2,4,7,8
1,103050809,1,1,0,0.0,,,1030508091.0,1,3,5,8,9
1,103050809,1,2,0,0.0,,,1030508091.0,1,3,5,8,9
1,103050809,1,3,0,0.0,,,1030508091.0,1,3,5,8,9
1,103050809,1,4,0,0.0,,,1030508091.0,1,3,5,8,9
1,103060910,2,1,0,0.0,,,1030609102.0,1,3,6,9,10
1,103060910,2,2,0,0.0,,,1030609102.0,1,3,6,9,10
1,103060910,2,3,0,0.0,,,1030609102.0,1,3,6,9,10
1,103060910,2,4,0,0.0,,,1030609102.0,1,3,6,9,10
1,103061011,3,1,0,0.0,,,1030610113.0,1,3,6,10,11
1,103061011,3,2,0,0.0,,,1030610113.0,1,3,6,10,11
1,103061011,3,3,0,0.0,,,1030610113.0,1,3,6,10,11
1,103061011,3,4,0,0.0,,,1030610113.0,1,3,6,10,11
1,103071112,4,1,0,0.0,,,1030711124.0,1,3,7,11,12
1,103071112,4,2,0,0.0,,,1030711124.0,1,3,7,11,12
1,103071112,4,3,0,0.0,,,1030711124.0,1,3,7,11,12
1,103071112,4,4,0,0.0,,,1030711124.0,1,3,7,11,12
1,104081213,1,1,0,0.0,,,1040812131.0,1,4,8,12,13
1,104081213,1,2,0,0.0,,,1040812131.0,1,4,8,12,13
1,104081213,1,3,0,0.0,,,1040812131.0,1,4,8,12,13
1,104081213,1,4,0,0.0,,,1040812131.0,1,4,8,12,13
1,104081314,2,1,0,0.0,,,1040813142.0,1,4,8,13,14
1,104081314,2,2,0,0.0,,,1040813142.0,1,4,8,13,14
1,104081314,2,3,0,0.0,,,1040813142.0,1,4,8,13,14
1,104081314,2,4,0,0.0,,,1040813142.0,1,4,8,13,14
1,104081415,3,1,0,0.0,,,1040814153.0,1,4,8,14,15
1,104081415,3,2,1,1.0,5.0,5.0,1040814153.0,1,4,8,14,15
1,104081415,3,3,0,0.0,,,1040814153.0,1,4,8,14,15
1,104081415,3,4,0,0.0,,,1040814153.0,1,4,8,14,15
1,104091516,4,1,0,0.0,,,1040915164.0,1,4,9,15,16
1,104091516,4,2,0,0.0,,,1040915164.0,1,4,9,15,16
1,104091516,4,3,0,0.0,,,1040915164.0,1,4,9,15,16
1,104091516,4,4,0,0.0,,,1040915164.0,1,4,9,15,16
1,105101617,1,1,0,0.0,,,1051016171.0,1,5,10,16,17
1,105101617,1,2,1,1.0,15.0,10.0,1051016171.0,1,5,10,16,17
1,105101617,1,3,0,0.0,,,1051016171.0,1,5,10,16,17
1,105101617,1,4,0,0.0,,,1051016171.0,1,5,10,16,17
1,105101718,2,1,0,0.0,,,1051017182.0,1,5,10,17,18
1,105101718,2,2,1,1.0,17.0,10.0,1051017182.0,1,5,10,17,18
1,105101718,2,3,0,0.0,,,1051017182.0,1,5,10,17,18
1,105101718,2,4,0,0.0,,,1051017182.0,1,5,10,17,18
1,105111819,3,1,0,0.0,,,1051118193.0,1,5,11,18,19
1,105111819,3,2,1,1.0,15.0,10.0,1051118193.0,1,5,11,18,19
1,105111819,3,3,0,0.0,,,1051118193.0,1,5,11,18,19
1,105111819,3,4,0,0.0,,,1051118193.0,1,5,11,18,19
1,105121920,4,1,0,0.0,,,1051219204.0,1,5,12,19,20
1,105121920,4,2,1,1.0,15.0,10.0,1051219204.0,1,5,12,19,20
1,105121920,4,3,0,0.0,,,1051219204.0,1,5,12,19,20
1,105121920,4,4,0,0.0,,,1051219204.0,1,5,12,19,20
1,106132021,1,1,0,0.0,,,1061320211.0,1,6,13,20,21
1,106132021,1,2,0,0.0,,,1061320211.0,1,6,13,20,21
1,106132021,1,3,0,0.0,,,1061320211.0,1,6,13,20,21
1,106132021,1,4,0,0.0,,,1061320211.0,1,6,13,20,21
1,106132122,2,1,0,0.0,,,1061321222.0,1,6,13,21,22
1,106132122,2,2,0,0.0,,,1061321222.0,1,6,13,21,22
1,106132122,2,3,0,0.0,,,1061321222.0,1,6,13,21,22
1,106132122,2,4,0,0.0,,,1061321222.0,1,6,13,21,22
1,106142223,3,1,0,0.0,,,1061422233.0,1,6,14,22,23
1,106142223,3,2,0,0.0,,,1061422233.0,1,6,14,22,23
1,106142223,3,3,0,0.0,,,1061422233.0,1,6,14,22,23
1,106142223,3,4,0,0.0,,,1061422233.0,1,6,14,22,23
1,106142324,4,1,0,0.0,,,1061423244.0,1,6,14,23,24
1,106142324,4,2,0,0.0,,,1061423244.0,1,6,14,23,24
1,106142324,4,3,0,0.0,,,1061423244.0,1,6,14,23,24
1,106142324,4,4,1,1.0,2.0,2.0,1061423244.0,1,6,14,23,24
1,107152425,1,1,0,0.0,,,1071524251.0,1,7,15,24,25
1,107152425,1,2,0,0.0,,,1071524251.0,1,7,15,24,25
1,107152425,1,3,0,0.0,,,1071524251.0,1,7,15,24,25
1,107152425,1,4,1,1.0,5.0,3.0,1071524251.0,1,7,15,24,25
1,107162526,2,1,0,0.0,,,1071625262.0,1,7,16,25,26
1,107162526,2,2,0,0.0,,,1071625262.0,1,7,16,25,26
1,107162526,2,3,0,0.0,,,1071625262.0,1,7,16,25,26
1,107162526,2,4,0,0.0,,,1071625262.0,1,7,16,25,26
1,107162627,3,1,0,0.0,,,1071626273.0,1,7,16,26,27
1,107162627,3,2,0,0.0,,,1071626273.0,1,7,16,26,27
1,107162627,3,3,0,0.0,,,1071626273.0,1,7,16,26,27
1,107162627,3,4,0,0.0,,,1071626273.0,1,7,16,26,27
1,107172728,4,1,0,0.0,,,1071727284.0,1,7,17,27,28
1,107172728,4,2,0,0.0,,,1071727284.0,1,7,17,27,28
