CID,HF_ID,HF_ANC,HF_Dia,HF_DoBabies,HF_EOC,HF_FPS,HF_Imune,HF_MI,HF_MS,HF_MT,HF_PNC,HF_Status,HF_SupA_Med,HF_SupA_MedEqp,HF_SupA_MedPers,HF_TMInj,HF_Type
101010101.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,"Basic Health Unit, BASIC HEALTH UNIT (SMALLER)"
101010101.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Rural Health Center, RURAL HEALTH CENTER (LARGE)"
101010101.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,"Clinic, MATERNAL AND CHILD HEALTH CENTER"
101010101.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Dispensary/pharmacy, PUBLIC HOSPITAL"
101010101.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,"Private Medical Practitioner, PUBLIC DISPENSARY"
101010101.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Hospital, PRIVATE MEDICAL PRACTITIONER"
101010101.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,"Blood Bank, PRIVATE CLINIC"
101010101.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,PRIVATE HOSPITAL
101010101.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,ATAE DOCTOR
101010202.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,"Basic Health Unit, BASIC HEALTH UNIT (SMALLER)"
101010202.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Rural Health Center, RURAL HEALTH CENTER (LARGE)"
101010202.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Clinic, MATERNAL AND CHILD HEALTH CENTER"
101010202.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Dispensary/pharmacy, PUBLIC HOSPITAL"
101010202.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Private Medical Practitioner, PUBLIC DISPENSARY"
101010202.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Hospital, PRIVATE MEDICAL PRACTITIONER"
101010202.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Blood Bank, PRIVATE CLINIC"
101010202.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,PRIVATE HOSPITAL
101010203.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Basic Health Unit, BASIC HEALTH UNIT (SMALLER)"
101010203.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Rural Health Center, RURAL HEALTH CENTER (LARGE)"
101010203.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Clinic, MATERNAL AND CHILD HEALTH CENTER"
101010203.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Dispensary/pharmacy, PUBLIC HOSPITAL"
101010203.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Private Medical Practitioner, PUBLIC DISPENSARY"
101010203.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Hospital, PRIVATE MEDICAL PRACTITIONER"
101010203.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Blood Bank, PRIVATE CLINIC"
101010203.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,PRIVATE HOSPITAL
101010203.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,ATAE DOCTOR
101020304.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Basic Health Unit, BASIC HEALTH UNIT (SMALLER)"
101020304.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Rural Health Center, RURAL HEALTH CENTER (LARGE)"
101020304.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Clinic, MATERNAL AND CHILD HEALTH CENTER"
101020304.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Dispensary/pharmacy, PUBLIC HOSPITAL"
101020304.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Private Medical Practitioner, PUBLIC DISPENSARY"
101020304.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Hospital, PRIVATE MEDICAL PRACTITIONER"
101020304.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Blood Bank, PRIVATE CLINIC"
101020304.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,PRIVATE HOSPITAL
101020304.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,ATAE DOCTOR
102030405.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Basic Health Unit, BASIC HEALTH UNIT (SMALLER)"
102030405.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Rural Health Center, RURAL HEALTH CENTER (LARGE)"
102030405.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,"Clinic, MATERNAL AND CHILD HEALTH CENTER"
102030405.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,"Dispensary/pharmacy, PUBLIC HOSPITAL"
102030405.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,"Private Medical Practitioner, PUBLIC DISPENSARY"
102030405.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Hospital, PRIVATE MEDICAL PRACTITIONER"
102030405.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,"Blood Bank, PRIVATE CLINIC"
102030405.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,PRIVATE HOSPITAL
102030506.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Basic Health Unit, BASIC HEALTH UNIT (SMALLER)"
102030506.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Rural Health Center, RURAL HEALTH CENTER (LARGE)"
102030506.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,"Clinic, MATERNAL AND CHILD HEALTH CENTER"
102030506.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Dispensary/pharmacy, PUBLIC HOSPITAL"
102030506.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Private Medical Practitioner, PUBLIC DISPENSARY"
102030506.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Hospital, PRIVATE MEDICAL PRACTITIONER"
102030506.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,"Blood Bank, PRIVATE CLINIC"
102030506.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,PRIVATE HOSPITAL
102030607.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Basic Health Unit, BASIC HEALTH UNIT (SMALLER)"
102030607.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Rural Health Center, RURAL HEALTH CENTER (LARGE)"
102030607.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Clinic, MATERNAL AND CHILD HEALTH CENTER"
102030607.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,"Dispensary/pharmacy, PUBLIC HOSPITAL"
102030607.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,"Private Medical Practitioner, PUBLIC DISPENSARY"
102030607.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Hospital, PRIVATE MEDICAL PRACTITIONER"
102030607.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,"Blood Bank, PRIVATE CLINIC"
102030607.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,PRIVATE HOSPITAL
102030607.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,ATAE DOCTOR
102040708.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,"Basic Health Unit, BASIC HEALTH UNIT (SMALLER)"
102040708.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Rural Health Center, RURAL HEALTH CENTER (LARGE)"
102040708.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Clinic, MATERNAL AND CHILD HEALTH CENTER"
102040708.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,"Dispensary/pharmacy, PUBLIC HOSPITAL"
102040708.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,"Private Medical Practitioner, PUBLIC DISPENSARY"
102040708.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,"Hospital, PRIVATE MEDICAL PRACTITIONER"
102040708.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,"Blood Bank, PRIVATE CLINIC"
102040708.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,PRIVATE HOSPITAL
103050809.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Basic Health Unit, BASIC HEALTH UNIT (SMALLER)"
