CID,FID,BE_AME_Tax,BE_AME_Tax_5y,BE_ASE_Tax,BE_ASE_Tax_5y,BE_ATE_Tax,BE_ATE_Tax_5y,BE_NFE_LisNoA,BE_NFE_LisNoA_5y,BE_NFE_PTOCost,BE_NFE_PTOCost_5y,BE_NFE_PrmNoA_5y,BE_NFE_Prm_NoA,BE_NFE_TimeLTO,BE_NFE_TimeLTO_5y,BE_NFE_TimePTO,BE_NFE_TimePTO_5y,BE_NFE_TimeReg,BE_NFE_TimeReg_5y,BE_SoNFE,BE_SoNFE_5y,BE_SoNFE_PrmLis,BO_BAABEst_T,BO_BAAB_AS,BO_BAAB_CDP,BO_BAAB_IGP,BO_BAAB_IOG,BO_BAAB_IOP,BO_BAAB_LG,BO_BAAB_RD,BO_BAAB_T,BO_BAOSEst_T,BO_BAOS_AS,BO_BAOS_CDP,BO_BAOS_IGP,BO_BAOS_IOG,BO_BAOS_IOP,BO_BAOS_LG,BO_BAOS_RD,BO_BAOS_T,BO_COCEst_T,BO_COC_AS,BO_COC_CDP,BO_COC_IGP,BO_COC_IOG,BO_COC_IOP,BO_COC_LG,BO_COC_RD,BO_COC_T,Community,Const_ID,Const_MI,Const_Main,Const_SMI,D_ID,M_ID,P_ID,Serv_AffEnt,Serv_Avl_1hrs,Serv_DemEnt,Serv_EntT,Serv_EntT_FA_y,Serv_Name,Survey_Round,T_ID,UC_ID,Unnamed: 0,VE_NFE_URP
101010101.0,1010101011.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,153.0,1.0,13.0,1.0,26.0,26.0,26.0,1.0,4.0,0.0,7.0,14009.0,28.0,26.0,26.0,26.0,12925.0,0.0
101010202.0,1010102022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,153.0,1.0,17.0,1.0,26.0,52.0,26.0,5.0,5.0,0.0,5.0,9945.0,28.0,26.0,26.0,52.0,13265.0,0.0
101010203.0,1010102033.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,153.0,1.0,13.0,1.0,26.0,78.0,26.0,0.0,0.0,0.0,2.0,3978.0,28.0,26.0,26.0,52.0,13605.0,0.0
101020304.0,1010203044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,153.0,1.0,12.0,1.0,26.0,104.0,26.0,0.0,0.0,0.0,0.0,0.0,28.0,26.0,52.0,78.0,13945.0,0.0
102030405.0,1020304051.0,16.0,3.0,10.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,153.0,1.0,3.0,1.0,52.0,130.0,26.0,3.0,4.0,7.0,4.0,7973.0,28.0,26.0,78.0,104.0,14285.0,0.0
102030506.0,1020305062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,153.0,1.0,2.0,1.0,52.0,156.0,26.0,1.0,5.0,2.0,5.0,9969.0,28.0,26.0,78.0,130.0,14625.0,0.0
102030607.0,1020306073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,153.0,1.0,5.0,1.0,52.0,182.0,26.0,3.0,6.0,4.0,6.0,11950.0,28.0,26.0,78.0,156.0,14965.0,0.0
102040708.0,1020407084.0,0.0,0.0,10.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,153.0,1.0,2.0,1.0,52.0,208.0,26.0,3.0,4.0,4.0,4.0,7976.0,28.0,26.0,104.0,182.0,15305.0,0.0
103050809.0,1030508091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,153.0,1.0,6.0,1.0,78.0,234.0,26.0,3.0,3.0,1.0,3.0,5983.0,28.0,26.0,130.0,208.0,15645.0,0.0
103060910.0,1030609102.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,153.0,1.0,9.0,1.0,78.0,260.0,26.0,4.0,4.0,0.0,4.0,7984.0,28.0,26.0,156.0,234.0,15985.0,0.0
